Plot_No,Spacing,Instar,Date,Tmax,Tmin,Humidity,Rainfall,Photoperiod,Wind_Speed,THI,Dry_Bulb,Wet_Bulb,Net_Tech,Pests,Pebrine,Virosis,Bacteriosis,Muscardine
,,,,,,,,,,,,,,,,,,
17,8x8,02-03-2005,07-10-2025,26,24,87.3,0,11:05,0.1,34,26,24,3,U;M,0,0,0,0
17,8x8,02-03-2005,08-10-2025,25.4,22,82.9,0,11:05,0.1,33,25,23,3,U;M,0,0,0,0
17,8x8,02-03-2005,09-10-2025,25.5,25,81.2,0,11:20,2.1,33,26,25,3,At;U;M,0,0,0,0
17,8x8,02-03-2005,10-10-2025,24.5,26,79.9,0,11:40,1.5,34,25,24,3,M;U,0,0,0,0
17,8x8,02-03-2005,11-10-2025,25,24,77.6,0,11:42,1.6,36,25,24,2,M;U,0,0,0,0
17,8x8,02-03-2005,12-10-2025,26,21,60.8,0,11:45,2,32,26,21,2,M,0,0,0,0
17,8x8,02-03-2005,13-10-2025,25,20,65.8,0,11:30,2,30,25,20,2,M,0,0,0,0
17,8x8,02-03-2005,14-10-2025,25,20,70.4,0,11:35,2,30,25,20,2,M,0,0,0,0
17,8x8,02-03-2005,15-10-2025,26,20,75.4,0,11:40,2,31,26,20,2,M,0,0,0,0
17,8x8,02-03-2005,16-10-2025,26,25,91.5,0,11:42,2,32,26,25,2,A;U,0,0,0,0
17,8x8,02-03-2005,17-10-2025,27,25,85.5,0,11:50,0.5,33,27,25,2,At;M,0,0,0,0
17,8x8,02-03-2005,18-10-2025,28,26,90.1,0,11:50,0.5,33,28,26,2,At;M,0,0,0,0
17,8x8,02-03-2005,19-10-2025,29.5,23,81.7,0,11:35,0.5,33,29,23,2,At,0,0,0,0
17,8x8,02-03-2005,20-10-2025,31.3,23,85.6,0,11:30,0.5,33,31,23,2,At,0,0,0,0
17,8x8,02-03-2005,21-10-2025,31.7,25,76.7,0,11:20,0.5,34,31,25,2,At,0,0,0,0
17,8x8,02-03-2005,22-10-2025,28,22,79.9,0,11:20,2,32,28,22,1,,0,0,0,0
17,8x8,02-03-2005,23-10-2025,26,23,69.6,0,11:25,2,32,26,23,1,,0,0,0,0
17,8x8,02-03-2005,24-10-2025,28,21,61,0,11:30,2,31,28,21,1,,0,0,0,0
17,8x8,02-03-2005,25-10-2025,29,21,72.4,0,11:35,0.6,32,29,21,1,,0,0,0,0
