date,wind_speed_ms_mean,wind_speed_ms_std,wind_speed_ms_min,wind_speed_ms_max,wind_direction_deg_mean,wind_direction_deg_std,wind_vx_mean,wind_vx_std,wind_vx_sum,wind_vy_mean,wind_vy_std,wind_vy_sum,resultant_vx,resultant_vy,resultant_speed,resultant_direction
2025-10-07,1.628,0.715,0.21,2.5,251.279,100.058,-1.051,0.833,-25.227,0.681,0.972,16.353,-25.227,16.353,30.06363481018222,-57.04731979442542
2025-10-08,1.524,0.296,0.51,1.8,153.167,123.629,-0.082,1.202,-1.956,0.704,0.736,16.896,-1.956,16.896,17.0088433469181,-6.603567451498527
2025-10-09,1.96,0.553,0.24,2.79,239.608,142.91,-0.645,0.783,-15.469,1.558,0.855,37.4,-15.469,37.4,40.472829910941485,-22.4704581660408
2025-10-10,2.858,0.975,1.66,4.38,337.371,12.632,-1.028,0.563,-24.667,2.603,0.994,62.466,-24.667,62.466,67.15997353334798,-21.54841011351153
2025-10-11,2.185,0.365,1.7,3.1,288.671,112.121,-0.922,0.638,-22.13,1.859,0.465,44.618,-22.13,44.618,49.80464661053224,-26.38086732912848
2025-10-12,2.102,0.495,1.32,3.21,323.558,18.124,-1.284,0.741,-30.804,1.557,0.24,37.366,-30.804,37.366,48.42627770126463,-39.50168586271245
2025-10-13,1.862,0.418,1.21,2.58,336.35,15.726,-0.671,0.364,-16.116,1.676,0.512,40.217,-16.116,40.217,43.32588770008065,-21.837262779155378
2025-10-14,1.668,0.422,1.15,2.39,303.362,114.968,-0.351,0.343,-8.421,1.603,0.389,38.482,-8.421,38.482,39.39260799947117,-12.343438729483642
2025-10-15,2.227,0.524,1.64,3.54,329.283,10.259,-1.1,0.325,-26.405,1.899,0.563,45.57,-26.405,45.57,52.66734211064766,-30.089642253746874
2025-10-16,2.359,0.408,1.78,3.2,312.95,19.011,-1.586,0.484,-38.06,1.57,0.735,37.691,-38.06,37.691,53.5646812834726,-45.27909830123343
2025-10-17,2.094,0.396,1.6,2.79,291.121,91.142,-1.279,0.801,-30.687,1.469,0.362,35.267,-30.687,35.267,46.74883162176356,-41.02762413621222
2025-10-18,0.93,0.772,0.12,2.2,228.342,81.114,-0.51,0.906,-12.252,0.32,0.547,7.686,-12.252,7.686,14.46326726573218,-57.89887616507231
2025-10-19,1.38,0.421,0.35,1.94,173.521,87.632,0.496,1.22,11.909,-0.279,0.581,-6.702,11.909,-6.702,13.665324182030956,119.36940171874025
2025-10-20,1.543,0.694,0.3,2.55,105.913,50.997,1.204,0.975,28.894,0.098,0.701,2.343,28.894,2.343,28.98884069775816,85.36405738095792
2025-10-21,1.558,0.898,0.07,3.2,90.942,117.286,0.832,0.791,19.973,1.191,0.713,28.595,19.973,28.595,34.879718376156646,34.93348112284286
2025-10-22,1.723,0.713,0.41,3.07,132.467,147.072,0.287,0.951,6.89,1.433,0.688,34.399,6.89,34.399,35.08223625996496,11.326267463963452
2025-10-23,1.165,0.471,0.12,1.71,243.146,129.167,-0.64,0.749,-15.366,0.62,0.497,14.892,-15.366,14.892,21.39826207896333,-45.89748093948357
2025-10-24,1.111,0.396,0.59,2.17,179.504,61.76,0.033,0.84,0.785,-0.635,0.562,-15.251,0.785,-15.251,15.271189410127818,177.05346996718123
2025-10-25,1.799,0.405,0.49,2.4,158.575,67.111,0.224,1.556,5.378,-0.721,0.724,-17.307,5.378,-17.307,18.123331178345772,162.7378214369127
2025-10-26,1.764,0.37,0.72,2.25,146.604,72.128,0.552,1.41,13.252,-0.442,0.935,-10.615,13.252,-10.615,16.97921461670121,128.6951174588492
2025-10-27,2.07,0.794,0.51,3.35,110.333,30.268,1.852,0.995,44.451,-0.444,0.569,-10.658,44.451,-10.658,45.710877972316396,103.48325248411011
2025-10-28,3.07,0.908,1.75,4.13,95.779,10.141,3.018,0.918,72.421,-0.241,0.503,-5.773,72.421,-5.773,72.65073137966336,94.55766398056691
2025-10-29,4.826,0.97,3.43,6.54,93.783,13.908,4.669,0.901,112.064,-0.356,1.245,-8.532,112.064,-8.532,112.3883228809826,94.35381852726918
2025-10-30,4.097,0.905,2.36,5.54,141.792,8.894,2.445,0.541,58.684,-3.223,0.98,-77.358,58.684,-77.358,97.09825961365115,142.81594197697498
2025-10-31,4.73,1.099,3.47,6.79,190.312,23.4,-0.741,1.357,-17.786,-4.383,1.448,-105.183,-17.786,-105.183,106.6761701834107,-170.40231574486208
