BCV,Description,count,mean,std,min,25%,50%,75%,max
BIO1,Annual Mean Temperature,25.0,25.333766666666666,1.2581893111104514,22.5,24.5,25.0,26.25,28.35
BIO2,Mean Diurnal Range,25.0,5.6395333333333335,2.8713018247346063,1.0,3.0,6.68,8.0,8.777777777777779
BIO3,Isothermality,25.0,31.33074074074074,15.951676804081146,5.555555555555555,16.666666666666664,37.11111111111111,44.44444444444444,48.76543209876543
BIO4,Temperature Seasonality,25.0,5.476995939214846,0.0,5.476995939214846,5.476995939214846,5.476995939214846,5.476995939214846,5.476995939214846
BIO5,Max Temperature of Warmest Month,25.0,28.153533333333336,1.8326565731817672,24.0,27.0,28.0,29.5,31.7
BIO6,Min Temperature of Coldest Month,25.0,22.513999999999996,1.9823313684449904,20.0,21.0,21.555555555555557,23.0,26.0
BIO7,Annual Temperature Range,25.0,5.6395333333333335,2.8713018247346063,1.0,3.0,6.68,8.0,8.777777777777779
BIO8,Mean Temperature of Wettest Quarter,25.0,25.634718518518515,0.5743905225237553,24.43333333333333,25.48333333333333,25.48333333333333,25.737499999999997,27.15
BIO9,Mean Temperature of Driest Quarter,25.0,24.962077513227513,1.096275194854595,22.5,24.493452380952384,24.986904761904764,24.986904761904764,28.35
BIO10,Mean Temperature of Warmest Quarter,25.0,26.012701388888885,0.7377019226488762,24.509375,26.00625,26.01875,26.21125,28.35
BIO11,Mean Temperature of Coldest Quarter,25.0,24.732434688346885,1.0075831500004808,22.5,24.234552845528455,24.452439024390245,25.0,27.0
BIO12,Annual Precipitation,25.0,75.4370888888889,7.618425748593423,60.5,72.4,76.85,80.26666666666667,90.1
BIO13,Precipitation of Wettest Month,25.0,75.4370888888889,7.618425748593423,60.5,72.4,76.85,80.26666666666667,90.1
BIO14,Precipitation of Driest Month,25.0,24.562911111111113,7.618425748593423,9.900000000000006,19.733333333333334,23.15,27.599999999999994,39.5
BIO15,Precipitation Seasonality,25.0,8.790762546163087,0.0,8.790762546163087,8.790762546163087,8.790762546163087,8.790762546163087,8.790762546163087
BIO16,Precipitation of Wettest Quarter,25.0,82.55657264957264,2.122049065948644,79.2,81.7,82.35384615384615,82.96153846153845,90.1
BIO17,Precipitation of Driest Quarter,25.0,70.64483862433863,4.411445542184397,60.5,70.76714285714286,72.01190476190476,72.48238095238096,76.7
BIO18,Precipitation of Warmest Quarter,25.0,77.39323333333334,2.498761279225278,72.4,76.40333333333334,77.21000000000001,77.21000000000001,85.6
BIO19,Precipitation of Coldest Quarter,25.0,75.08635447154472,7.174454094878892,60.5,74.29121951219511,76.77804878048781,79.2,90.1
