Disease,Model,accuracy,precision,recall,f1,roc_auc,mcc,cohen_kappa
Pebrine,RandomForest,0.76,0.2,0.3333333333333333,0.25,0.8409090909090908,0.12309149097933272,0.11764705882352955
Pebrine,GradientBoosting,0.76,0.2,0.3333333333333333,0.25,0.7954545454545454,0.12309149097933272,0.11764705882352955
Pebrine,LogisticRegression,0.84,0.4,0.6666666666666666,0.5,0.8409090909090908,0.43082021842766455,0.41176470588235303
Pebrine,SVM,0.88,0.0,0.0,0.0,0.24999999999999997,0.0,0.0
Pebrine,KNN,0.88,0.5,0.6666666666666666,0.5714285714285715,0.9242424242424242,0.5103545438827408,0.5033112582781457
Pebrine,NaiveBayes,0.84,0.42857142857142855,1.0,0.6,0.9393939393939393,0.5921565254637922,0.5192307692307693
Pebrine,DecisionTree,0.72,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.553030303030303,0.08070002078437537,0.07407407407407418
Pebrine,AdaBoost,0.76,0.2,0.3333333333333333,0.25,0.8106060606060606,0.12309149097933272,0.11764705882352955
Pebrine,ENSEMBLE,0.8,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.8712121212121212,0.36891438072857313,0.3386243386243387
Virosis,RandomForest,0.76,0.6,0.42857142857142855,0.5,0.8293650793650793,0.3563483225498992,0.34782608695652173
Virosis,GradientBoosting,0.8,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.8849206349206349,0.48393863517770025,0.4813278008298756
Virosis,LogisticRegression,0.72,0.5,0.2857142857142857,0.36363636363636365,0.8373015873015873,0.21384434262392824,0.2009132420091324
Virosis,SVM,0.72,0.5,0.2857142857142857,0.36363636363636365,0.7182539682539683,0.21384434262392824,0.2009132420091324
Virosis,KNN,0.68,0.4,0.2857142857142857,0.3333333333333333,0.7936507936507937,0.1336306209562122,0.13043478260869557
Virosis,NaiveBayes,0.76,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.8531746031746031,0.46028324996028647,0.45255474452554745
Virosis,DecisionTree,0.68,0.3333333333333333,0.14285714285714285,0.2,0.6190476190476191,0.04386344633065127,0.03846153846153855
Virosis,AdaBoost,0.8,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.9325396825396826,0.48393863517770025,0.4813278008298756
Virosis,ENSEMBLE,0.8,0.625,0.7142857142857143,0.6666666666666666,0.9007936507936508,0.5271016357912215,0.5247148288973384
Bacteriosis,RandomForest,0.76,0.2,0.3333333333333333,0.25,0.8409090909090908,0.12309149097933272,0.11764705882352955
Bacteriosis,GradientBoosting,0.76,0.2,0.3333333333333333,0.25,0.7954545454545454,0.12309149097933272,0.11764705882352955
Bacteriosis,LogisticRegression,0.84,0.4,0.6666666666666666,0.5,0.8409090909090908,0.43082021842766455,0.41176470588235303
Bacteriosis,SVM,0.88,0.0,0.0,0.0,0.24999999999999997,0.0,0.0
Bacteriosis,KNN,0.88,0.5,0.6666666666666666,0.5714285714285715,0.9242424242424242,0.5103545438827408,0.5033112582781457
Bacteriosis,NaiveBayes,0.84,0.42857142857142855,1.0,0.6,0.9393939393939393,0.5921565254637922,0.5192307692307693
Bacteriosis,DecisionTree,0.72,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.553030303030303,0.08070002078437537,0.07407407407407418
Bacteriosis,AdaBoost,0.76,0.2,0.3333333333333333,0.25,0.8106060606060606,0.12309149097933272,0.11764705882352955
Bacteriosis,ENSEMBLE,0.8,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.8712121212121212,0.36891438072857313,0.3386243386243387
Muscardine,RandomForest,0.76,0.2,0.3333333333333333,0.25,0.8409090909090908,0.12309149097933272,0.11764705882352955
Muscardine,GradientBoosting,0.76,0.2,0.3333333333333333,0.25,0.7954545454545454,0.12309149097933272,0.11764705882352955
Muscardine,LogisticRegression,0.84,0.4,0.6666666666666666,0.5,0.8409090909090908,0.43082021842766455,0.41176470588235303
Muscardine,SVM,0.88,0.0,0.0,0.0,0.24999999999999997,0.0,0.0
Muscardine,KNN,0.88,0.5,0.6666666666666666,0.5714285714285715,0.9242424242424242,0.5103545438827408,0.5033112582781457
Muscardine,NaiveBayes,0.84,0.42857142857142855,1.0,0.6,0.9393939393939393,0.5921565254637922,0.5192307692307693
Muscardine,DecisionTree,0.72,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.553030303030303,0.08070002078437537,0.07407407407407418
Muscardine,AdaBoost,0.76,0.2,0.3333333333333333,0.25,0.8106060606060606,0.12309149097933272,0.11764705882352955
Muscardine,ENSEMBLE,0.8,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.8712121212121212,0.36891438072857313,0.3386243386243387
