Date,Pebrine,Virosis,Bacteriosis,Wind_Speed,date,wind_speed_ms_mean,wind_speed_ms_std,wind_speed_ms_min,wind_speed_ms_max,wind_direction_deg_mean,wind_direction_deg_std,wind_vx_mean,wind_vx_std,wind_vx_sum,wind_vy_mean,wind_vy_std,wind_vy_sum,resultant_vx,resultant_vy,resultant_speed,resultant_direction,velocity_magnitude,vx_mean,vy_mean,resultant_velocity,direction_variability
07-10-2025,0,10,0,1.471428571,07-10-2025,1.628,0.715,0.21,2.5,251.279,100.058,-1.051,0.833,-25.227,0.681,0.972,16.353,-25.227,16.353,30.06363481,-57.04731979,1.628,-1.051,0.681,30.06363481,100.058
08-10-2025,0,13,0,0.9,08-10-2025,1.524,0.296,0.51,1.8,153.167,123.629,-0.082,1.202,-1.956,0.704,0.736,16.896,-1.956,16.896,17.00884335,-6.603567451,1.524,-0.082,0.704,17.00884335,123.629
09-10-2025,0,15,0,1.442857143,09-10-2025,1.96,0.553,0.24,2.79,239.608,142.91,-0.645,0.783,-15.469,1.558,0.855,37.4,-15.469,37.4,40.47282991,-22.47045817,1.96,-0.645,1.558,40.47282991,142.91
10-10-2025,0,19,0,2,10-10-2025,2.858,0.975,1.66,4.38,337.371,12.632,-1.028,0.563,-24.667,2.603,0.994,62.466,-24.667,62.466,67.15997353,-21.54841011,2.858,-1.028,2.603,67.15997353,12.632
11-10-2025,0,0,0,1.825,11-10-2025,2.185,0.365,1.7,3.1,288.671,112.121,-0.922,0.638,-22.13,1.859,0.465,44.618,-22.13,44.618,49.80464661,-26.38086733,2.185,-0.922,1.859,49.80464661,112.121
12-10-2025,0,0,0,1.133333333,12-10-2025,2.102,0.495,1.32,3.21,323.558,18.124,-1.284,0.741,-30.804,1.557,0.24,37.366,-30.804,37.366,48.4262777,-39.50168586,2.102,-1.284,1.557,48.4262777,18.124
13-10-2025,0,0,0,1.2,13-10-2025,1.862,0.418,1.21,2.58,336.35,15.726,-0.671,0.364,-16.116,1.676,0.512,40.217,-16.116,40.217,43.3258877,-21.83726278,1.862,-0.671,1.676,43.3258877,15.726
14-10-2025,0,0,0,1.733333333,14-10-2025,1.668,0.422,1.15,2.39,303.362,114.968,-0.351,0.343,-8.421,1.603,0.389,38.482,-8.421,38.482,39.392608,-12.34343873,1.668,-0.351,1.603,39.392608,114.968
15-10-2025,0,0,0,2.066666667,15-10-2025,2.227,0.524,1.64,3.54,329.283,10.259,-1.1,0.325,-26.405,1.899,0.563,45.57,-26.405,45.57,52.66734211,-30.08964225,2.227,-1.1,1.899,52.66734211,10.259
16-10-2025,0,0,0,2.066666667,16-10-2025,2.359,0.408,1.78,3.2,312.95,19.011,-1.586,0.484,-38.06,1.57,0.735,37.691,-38.06,37.691,53.56468128,-45.2790983,2.359,-1.586,1.57,53.56468128,19.011
17-10-2025,0,0,0,1,17-10-2025,2.094,0.396,1.6,2.79,291.121,91.142,-1.279,0.801,-30.687,1.469,0.362,35.267,-30.687,35.267,46.74883162,-41.02762414,2.094,-1.279,1.469,46.74883162,91.142
18-10-2025,0,0,0,0.5,18-10-2025,0.93,0.772,0.12,2.2,228.342,81.114,-0.51,0.906,-12.252,0.32,0.547,7.686,-12.252,7.686,14.46326727,-57.89887617,0.93,-0.51,0.32,14.46326727,81.114
