Plot_No,Spacing,Instar,Date,Tmax,Tmin,Humidity,Rainfall,Photoperiod,Wind_Speed,THI,Dry_Bulb,Wet_Bulb,Net_Tech,Pests,Pebrine,Virosis,Bacteriosis,Muscardine,Date_parsed,Has_Uzi,Has_Mites,Has_Ants,Has_Spiders,Has_Athropoda,Total_Pests,Any_Disease,Temp_Range,Mean_Temp,THI_Category
17,8x8,02-03-2005,07-10-2025,26.0,24.0,87.3,0.0,11:05,0.1,34.0,26.0,24.0,Unknown,U;M,0.0,0.0,0.0,0.0,2025-10-07,1,1,0,0,0,2,0,2.0,25.0,No Stress
17,8x8,02-03-2005,08-10-2025,25.4,22.0,82.9,0.0,11:05,0.1,33.0,25.0,23.0,Unknown,U;M,0.0,0.0,0.0,0.0,2025-10-08,1,1,0,0,0,2,0,3.3999999999999986,23.7,No Stress
17,8x8,02-03-2005,09-10-2025,25.5,25.0,81.2,0.0,11:20,2.1,33.0,26.0,25.0,Unknown,At;U;M,0.0,0.0,0.0,0.0,2025-10-09,1,1,1,0,1,4,0,0.5,25.25,No Stress
17,8x8,02-03-2005,10-10-2025,24.5,26.0,79.9,0.0,11:40,1.5,34.0,25.0,24.0,Unknown,M;U,0.0,0.0,0.0,0.0,2025-10-10,1,1,0,0,0,2,0,-1.5,25.25,No Stress
17,8x8,02-03-2005,11-10-2025,25.0,24.0,77.6,0.0,11:42,1.6,36.0,25.0,24.0,Unknown,M;U,0.0,0.0,0.0,0.0,2025-10-11,1,1,0,0,0,2,0,1.0,24.5,No Stress
17,8x8,02-03-2005,12-10-2025,26.0,21.0,60.8,0.0,11:45,2.0,32.0,26.0,21.0,Unknown,M,0.0,0.0,0.0,0.0,2025-10-12,0,1,0,0,0,1,0,5.0,23.5,No Stress
17,8x8,02-03-2005,13-10-2025,25.0,20.0,65.8,0.0,11:30,2.0,30.0,25.0,20.0,Unknown,M,0.0,0.0,0.0,0.0,2025-10-13,0,1,0,0,0,1,0,5.0,22.5,No Stress
17,8x8,02-03-2005,14-10-2025,25.0,20.0,70.4,0.0,11:35,2.0,30.0,25.0,20.0,Unknown,M,0.0,0.0,0.0,0.0,2025-10-14,0,1,0,0,0,1,0,5.0,22.5,No Stress
17,8x8,02-03-2005,15-10-2025,26.0,20.0,75.4,0.0,11:40,2.0,31.0,26.0,20.0,Unknown,M,0.0,0.0,0.0,0.0,2025-10-15,0,1,0,0,0,1,0,6.0,23.0,No Stress
17,8x8,02-03-2005,16-10-2025,26.0,25.0,91.5,0.0,11:42,2.0,32.0,26.0,25.0,Unknown,A;U,0.0,0.0,0.0,0.0,2025-10-16,1,0,1,0,0,2,0,1.0,25.5,No Stress
17,8x8,02-03-2005,17-10-2025,27.0,25.0,85.5,0.0,11:50,0.5,33.0,27.0,25.0,Unknown,At;M,0.0,0.0,0.0,0.0,2025-10-17,0,1,1,0,1,3,0,2.0,26.0,No Stress
17,8x8,02-03-2005,18-10-2025,28.0,26.0,90.1,0.0,11:50,0.5,33.0,28.0,26.0,Unknown,At;M,0.0,0.0,0.0,0.0,2025-10-18,0,1,1,0,1,3,0,2.0,27.0,No Stress
17,8x8,02-03-2005,19-10-2025,29.5,23.0,81.7,0.0,11:35,0.5,33.0,29.0,23.0,Unknown,At,0.0,0.0,0.0,0.0,2025-10-19,0,0,1,0,1,2,0,6.5,26.25,No Stress
17,8x8,02-03-2005,20-10-2025,31.3,23.0,85.6,0.0,11:30,0.5,33.0,31.0,23.0,Unknown,At,0.0,0.0,0.0,0.0,2025-10-20,0,0,1,0,1,2,0,8.3,27.15,No Stress
17,8x8,02-03-2005,21-10-2025,31.7,25.0,76.7,0.0,11:20,0.5,34.0,31.0,25.0,Unknown,At,0.0,0.0,0.0,0.0,2025-10-21,0,0,1,0,1,2,0,6.699999999999999,28.35,No Stress
17,8x8,02-03-2005,22-10-2025,28.0,22.0,79.9,0.0,11:20,2.0,32.0,28.0,22.0,Yes,,0.0,0.0,0.0,0.0,2025-10-22,0,0,0,0,0,0,0,6.0,25.0,No Stress
17,8x8,02-03-2005,23-10-2025,26.0,23.0,69.6,0.0,11:25,2.0,32.0,26.0,23.0,Yes,,0.0,0.0,0.0,0.0,2025-10-23,0,0,0,0,0,0,0,3.0,24.5,No Stress
