Date,Tmax,Tmin,Humidity,Wind_Speed,Rainfall,Climate_Source
2026-08-01,30.82,24.21,86.44,2.12,7.46,nasa_power
2026-08-02,29.35,24.51,89.63,2.03,13.46,nasa_power
2026-08-03,30.9,24.3,84.35,1.49,6.82,nasa_power
2026-08-04,31.99,24.63,84.07,0.79,23.2,nasa_power
2026-08-05,29.34,24.8,91.84,1.94,77.46,nasa_power
2026-08-06,25.9,23.6,94.73,1.34,36.58,nasa_power
2026-08-07,30.07,22.96,88.48,1.51,8.37,nasa_power
2026-08-08,25.76,23.36,93.84,3.86,17.61,nasa_power
2026-08-09,29.91,23.69,89.06,3.39,13.8,nasa_power
2026-08-10,28.93,24.27,90.53,2.5,12.24,nasa_power
2026-08-11,31.31,23.13,85.7,1.82,11.74,nasa_power
2026-08-12,30.52,23.37,84.67,1.15,8.37,nasa_power
2026-08-13,30.73,24.04,87.11,1.28,8.72,nasa_power
2026-08-14,28.73,24.71,92.47,3.61,17.82,nasa_power
2026-08-15,28.5,23.91,91.66,3.33,6.33,nasa_power
2026-08-16,30.78,24.47,86.8,2.0,6.95,nasa_power
2026-08-17,31.03,24.51,87.78,2.14,16.75,nasa_power
2026-08-18,26.57,24.04,94.1,2.65,33.17,nasa_power
2026-08-19,27.06,23.58,93.21,4.06,9.61,nasa_power
2026-08-20,28.54,23.27,91.4,4.16,4.33,nasa_power
2026-08-21,29.46,23.38,90.87,2.72,4.31,nasa_power
2026-08-22,31.0,23.61,88.46,2.04,4.45,nasa_power
2026-08-23,30.82,23.79,88.41,2.09,4.01,nasa_power
2026-08-24,30.05,24.15,89.53,2.56,10.61,nasa_power
2026-08-25,27.92,24.2,93.32,3.09,12.41,nasa_power
2026-08-26,28.33,24.23,92.6,2.65,8.84,nasa_power
2026-08-27,30.76,23.48,87.22,1.3,6.26,nasa_power
2026-08-28,31.32,24.61,87.81,1.05,12.44,nasa_power
2026-08-29,28.9,25.16,89.99,1.19,15.69,nasa_power
2026-08-30,30.28,24.72,89.44,2.12,9.19,nasa_power
2026-08-31,29.24,24.66,91.16,3.01,18.69,nasa_power
2026-09-01,28.67,23.97,93.31,3.65,24.18,nasa_power
2026-09-02,27.27,23.35,93.14,3.48,14.78,nasa_power
2026-09-03,26.69,22.9,92.32,3.98,6.41,nasa_power
2026-09-04,28.92,22.83,89.86,2.59,8.19,nasa_power
2026-09-05,29.33,22.71,88.69,2.7,4.01,nasa_power
2026-09-06,29.42,22.45,88.86,2.36,4.26,nasa_power
2026-09-07,29.92,23.49,88.07,1.44,8.12,nasa_power
2026-09-08,30.09,23.63,88.43,1.5,7.82,nasa_power
2026-09-09,28.3,23.65,90.37,1.6,9.17,nasa_power
2026-09-10,28.8,24.1,91.42,2.23,11.67,nasa_power
2026-09-11,27.69,23.28,92.03,4.75,15.42,nasa_power
2026-09-12,28.15,23.45,92.13,5.39,11.22,nasa_power
2026-09-13,28.57,22.46,89.55,3.48,3.77,nasa_power
2026-09-14,30.35,22.26,84.55,0.97,11.83,nasa_power
2026-09-15,30.14,22.25,81.62,1.19,5.26,nasa_power
2026-09-16,30.7,22.96,82.08,1.4,3.63,nasa_power
2026-09-17,28.74,23.08,88.33,1.55,5.92,nasa_power
2026-09-18,30.0,22.9,79.0,6.1,0.3,open-meteo_era5
2026-09-19,29.4,22.1,82.0,6.0,1.8,open-meteo_era5
2026-09-20,27.3,22.5,87.0,9.5,4.1,open-meteo_era5
2026-09-21,27.5,21.6,90.0,8.5,4.6,open-meteo_era5
2026-09-22,28.7,22.5,88.0,14.5,5.0,open-meteo_era5
