Feature,Importance
Net_Tech_Binary,0.3106585950202287
Temp_Range,0.11906212220258038
Spacing_8x8,0.10797568518058692
Tmax,0.08343325343785389
Humidity,0.0818774728764257
Tmin,0.0530273993199534
THI,0.052149351554061786
Wind_Speed,0.04121348600682129
Spacing_6x6,0.038743334883250165
Spacing_10x10,0.03538778356823483
Has_Ants,0.026236461630339897
Has_Mites,0.014969041417263672
Has_Uzi,0.014106351441064655
Has_Spiders,0.012593995934257658
Spacing_6x10,0.006618434014628231
Has_Athropoda,0.001947231512448905
Spacing_12x12,0.0
