Year,Plot_No,Spacing,Instar,Date,Tmax,Tmin,Humidity,Wind_Speed,Rainfall,THI,Net_Tech,Pests,Has_Uzi,Has_Mites,Has_Ants,Has_Spiders,Has_Athropoda,Pebrine,Virosis,Bacteriosis,Muscardine,Source
2025,17,8x8,02-03-2005,2025-10-07,26.0,24.0,87.3,0.1,0.0,75.67285,Unknown,U;M,1,1,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,17,8x8,02-03-2005,2025-10-08,25.4,22.0,82.9,0.1,0.0,73.093127,Unknown,U;M,1,1,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,17,8x8,02-03-2005,2025-10-09,25.5,25.0,81.2,2.1,0.0,75.43887000000001,Unknown,At;U;M,1,1,1,0,1,0.0,0.0,0.0,0.0,field_2025
2025,17,8x8,02-03-2005,2025-10-10,24.5,26.0,79.9,1.5,0.0,75.2998025,Unknown,M;U,1,1,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,17,8x8,02-03-2005,2025-10-11,25.0,24.0,77.6,1.6,0.0,73.87007999999999,Unknown,M;U,1,1,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,17,8x8,02-03-2005,2025-10-12,26.0,21.0,60.8,2.0,0.0,70.78572000000001,Unknown,M,0,1,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,17,8x8,02-03-2005,2025-10-13,25.0,20.0,65.8,2.0,0.0,69.77255,Unknown,M,0,1,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,17,8x8,02-03-2005,2025-10-14,25.0,20.0,70.4,2.0,0.0,70.1394,Unknown,M,0,1,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,17,8x8,02-03-2005,2025-10-15,26.0,20.0,75.4,2.0,0.0,71.31638000000001,Unknown,M,0,1,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,17,8x8,02-03-2005,2025-10-16,26.0,25.0,91.5,2.0,0.0,76.96967500000001,Unknown,A;U,1,0,1,0,0,0.0,0.0,0.0,0.0,field_2025
2025,17,8x8,02-03-2005,2025-10-17,27.0,25.0,85.5,0.5,0.0,77.14120000000001,Unknown,At;M,0,1,1,0,1,0.0,0.0,0.0,0.0,field_2025
2025,17,8x8,02-03-2005,2025-10-18,28.0,26.0,90.1,0.5,0.0,79.36943,Unknown,At;M,0,1,1,0,1,0.0,0.0,0.0,0.0,field_2025
2025,17,8x8,02-03-2005,2025-10-19,29.5,23.0,81.7,0.5,0.0,77.1111875,Unknown,At,0,0,1,0,1,0.0,0.0,0.0,0.0,field_2025
2025,17,8x8,02-03-2005,2025-10-20,31.3,23.0,85.6,0.5,0.0,79.058696,Unknown,At,0,0,1,0,1,0.0,0.0,0.0,0.0,field_2025
2025,17,8x8,02-03-2005,2025-10-21,31.7,25.0,76.7,0.5,0.0,79.8224055,Unknown,At,0,0,1,0,1,0.0,0.0,0.0,0.0,field_2025
2025,17,8x8,02-03-2005,2025-10-22,28.0,22.0,79.9,2.0,0.0,74.89955,Yes,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,17,8x8,02-03-2005,2025-10-23,26.0,23.0,69.6,2.0,0.0,73.07368,Yes,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,17,8x8,02-03-2005,2025-10-24,28.0,21.0,61.0,2.0,0.0,72.21754999999999,Yes,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,17,8x8,02-03-2005,2025-10-25,29.0,21.0,72.4,0.6,0.0,74.1158,Yes,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,17,8x8,02-03-2005,2025-10-26,24.0,21.0,70.8,0.6,0.0,70.1713,Yes,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,17,8x8,02-03-2005,2025-10-27,26.0,25.0,79.2,0.8,0.0,75.62344,Yes,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,17,8x8,02-03-2005,2025-10-28,27.0,26.0,80.5,0.8,0.0,77.372675,Yes,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,17,8x8,02-03-2005,2025-10-29,27.0,26.0,60.5,0.8,0.0,74.985675,Yes,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,17,8x8,02-03-2005,2025-10-30,27.0,26.0,60.7,1.2,0.0,75.009545,Yes,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,17,8x8,02-03-2005,2025-10-31,25.0,23.0,63.7,1.2,0.0,71.76602,Yes,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,18,12x12,03-04-2005,2025-10-07,25.6,23.2,79.5,,0.0,73.89952,Unknown,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,18,12x12,03-04-2005,2025-10-08,26.3,24.0,82.1,,0.0,75.3728685,Unknown,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,18,12x12,03-04-2005,2025-10-09,25.6,21.0,74.2,,0.0,71.678114,Unknown,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,18,12x12,03-04-2005,2025-10-10,27.5,21.0,65.8,,0.0,72.33003500000001,Unknown,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,18,12x12,03-04-2005,2025-10-11,26.5,21.0,75.1,,0.0,72.4560875,Unknown,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,18,12x12,03-04-2005,2025-10-12,26.4,22.0,78.6,,0.0,73.493188,Unknown,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,18,12x12,03-04-2005,2025-10-13,25.2,22.0,80.1,,0.0,72.676264,Unknown,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,18,12x12,03-04-2005,2025-10-14,26.3,23.0,92.2,,0.0,75.58192700000001,Unknown,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,21,8x8,01-03-2005,2025-10-07,25.0,22.0,86.0,,0.0,73.04490000000001,Unknown,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,21,8x8,01-03-2005,2025-10-08,26.0,22.0,83.0,,0.0,73.5918,Unknown,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,21,8x8,01-03-2005,2025-10-09,25.0,23.0,81.0,,0.0,73.4026,Unknown,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,21,8x8,01-03-2005,2025-10-10,26.0,24.0,86.0,,0.0,75.53699999999999,Unknown,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,21,8x8,01-03-2005,2025-10-11,23.6,24.0,66.0,,0.0,71.69092,Unknown,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,21,8x8,01-03-2005,2025-10-12,29.0,23.0,69.0,,0.0,75.2536,Unknown,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
2025,21,8x8,01-03-2005,2025-10-13,26.0,23.0,72.0,,0.0,73.31259999999999,Unknown,,0,0,0,0,0,0.0,0.0,0.0,0.0,field_2025
