Pest,Disease,Correlation,P_value,Significant
Has_Uzi,Pebrine,0.4013370510822897,0.00020458505978579404,Yes
Has_Uzi,Virosis,0.32572692253508256,0.0030037375404575587,Yes
Has_Uzi,Bacteriosis,0.4013370510822897,0.00020458505978579404,Yes
Has_Uzi,Muscardine,0.4013370510822897,0.00020458505978579404,Yes
Has_Mites,Pebrine,0.32034966318936464,0.003550179682887001,Yes
Has_Mites,Virosis,0.3041847235822614,0.005764951629892821,Yes
Has_Mites,Bacteriosis,0.32034966318936464,0.003550179682887001,Yes
Has_Mites,Muscardine,0.32034966318936464,0.003550179682887001,Yes
Has_Ants,Pebrine,-0.25722638576521384,0.020437918091051038,Yes
Has_Ants,Virosis,0.44673792692474273,2.9073230803675255e-05,Yes
Has_Ants,Bacteriosis,-0.25722638576521384,0.020437918091051038,Yes
Has_Ants,Muscardine,-0.25722638576521384,0.020437918091051038,Yes
Has_Spiders,Pebrine,-0.09035079029052512,0.42245990289460306,No
Has_Spiders,Virosis,0.041949599653324676,0.7100104788809412,No
Has_Spiders,Bacteriosis,-0.09035079029052512,0.42245990289460306,No
Has_Spiders,Muscardine,-0.09035079029052512,0.42245990289460306,No
Has_Athropoda,Pebrine,-0.1121223821162776,0.31897625237239313,No
Has_Athropoda,Virosis,-0.10646465325379147,0.34415818774317103,No
Has_Athropoda,Bacteriosis,-0.1121223821162776,0.31897625237239313,No
Has_Athropoda,Muscardine,-0.1121223821162776,0.31897625237239313,No
Total_Pests,Pebrine,0.1566668258524531,0.1624955278624324,No
Total_Pests,Virosis,0.4077475136785526,0.00015791315332711056,Yes
Total_Pests,Bacteriosis,0.1566668258524531,0.1624955278624324,No
Total_Pests,Muscardine,0.1566668258524531,0.1624955278624324,No
