,Date_parsed,Date_parsed,Date_parsed,Tmax,Tmin,Humidity,THI_numeric,Pebrine,Virosis,Bacteriosis,Muscardine
,min,max,count,mean,mean,mean,mean,sum,sum,sum,sum
Plot_No,,,,,,,,,,,
5.0,2025-10-07,2025-10-10,4,31.75,20.75,77.5,33.12,0000,46915,0000,0000
7.0,2025-10-07,2025-10-10,4,31.5,20.75,77.5,33.12,0000,1211,0000,0000
13.0,2025-10-07,2025-10-16,20,31.3,19.6,77.7,33.87,XXXXXXXXXX0000000000,XXXXXXXXXX0000000000,XXXXXXXXXX0000000000,XXXXXXXXXX0000000000
14.0,2025-10-07,2025-10-11,5,33.4,20.4,76.4,33.06,00000,00000,00000,00000
17.0,2025-10-07,2025-10-31,26,26.84,23.08,75.68,32.31,0000000000000000000000000X,0000000000000000000000000X,0000000000000000000000000X,0000000000000000000000000X
18.0,2025-10-07,2025-10-14,8,26.18,22.15,78.45,,0,0,0,0
20.0,2025-10-07,2025-10-10,4,29.75,20.75,77.5,33.12,0000,5553,0000,0000
21.0,2025-10-07,2025-10-16,10,26.31,23.1,77.5,,0,0,0,0
